state,abbr,county,FIPS,rate,total
Alaska,AK,Aleutians East Borough,02013,27,9%
Alaska,AK,Aleutians West Census Area,02016,21,9%
Alaska,AK,Anchorage Municipality,02020,9,9%
Alaska,AK,Bethel Census Area,02050,14,9%
Alaska,AK,Bristol Bay Borough,02060,8,9%
Alaska,AK,Denali Borough,02068,8,9%
Alaska,AK,Dillingham Census Area,02070,11,9%
Alaska,AK,Fairbanks North Star Borough,02090,8,9%
Alaska,AK,Haines Borough,02100,9,9%
Alaska,AK,Juneau City and Borough,02110,7,9%
Alaska,AK,Kenai Peninsula Borough,02122,8,9%
Alaska,AK,Ketchikan Gateway Borough,02130,8,9%
Alaska,AK,Kodiak Island Borough,02150,14,9%
Alaska,AK,Lake and Peninsula Borough,02164,14,9%
Alaska,AK,Matanuska-Susitna Borough,02170,8,9%
Alaska,AK,Nome Census Area,02180,13,9%
Alaska,AK,North Slope Borough,02185,12,9%
Alaska,AK,Northwest Arctic Borough,02188,14,9%
Alaska,AK,Prince of Wales-Outer Ketchika,02201,11,9%
Alaska,AK,Sitka City and Borough,02220,7,9%
Alaska,AK,Skagway-Hoonah-Angoon Census A,02232,9,9%
Alaska,AK,Southeast Fairbanks Census Are,02240,13,9%
Alaska,AK,Valdez-Cordova Census Area,02261,9,9%
Alaska,AK,Wade Hampton Census Area,02270,17,9%
Alaska,AK,Wrangell-Petersburg Census Are,02280,10,9%
Alaska,AK,Yakutat City and Borough,02282,9,9%
Alaska,AK,Yukon-Koyukuk Census Area,02290,14,9%
Alabama,AL,Autauga County,01001,13,15%
Alabama,AL,Baldwin County,01003,11,15%
Alabama,AL,Barbour County,01005,23,15%
Alabama,AL,Bibb County,01007,17,15%
Alabama,AL,Blount County,01009,14,15%
Alabama,AL,Bullock County,01011,34,15%
Alabama,AL,Butler County,01013,21,15%
Alabama,AL,Calhoun County,01015,15,15%
Alabama,AL,Chambers County,01017,20,15%
Alabama,AL,Cherokee County,01019,16,15%
Alabama,AL,Chilton County,01021,15,15%
Alabama,AL,Choctaw County,01023,23,15%
Alabama,AL,Clarke County,01025,21,15%
Alabama,AL,Clay County,01027,18,15%
Alabama,AL,Cleburne County,01029,17,15%
Alabama,AL,Coffee County,01031,13,15%
Alabama,AL,Colbert County,01033,15,15%
Alabama,AL,Conecuh County,01035,23,15%
Alabama,AL,Coosa County,01037,21,15%
Alabama,AL,Covington County,01039,16,15%
Alabama,AL,Crenshaw County,01041,19,15%
Alabama,AL,Cullman County,01043,13,15%
Alabama,AL,Dale County,01045,13,15%
Alabama,AL,Dallas County,01047,24,15%
Alabama,AL,DeKalb County,01049,18,15%
Alabama,AL,Elmore County,01051,13,15%
Alabama,AL,Escambia County,01053,19,15%
Alabama,AL,Etowah County,01055,14,15%
Alabama,AL,Fayette County,01057,17,15%
Alabama,AL,Franklin County,01059,19,15%
Alabama,AL,Geneva County,01061,16,15%
Alabama,AL,Greene County,01063,31,15%
Alabama,AL,Hale County,01065,26,15%
Alabama,AL,Henry County,01067,18,15%
Alabama,AL,Houston County,01069,12,15%
Alabama,AL,Jackson County,01071,15,15%
Alabama,AL,Jefferson County,01073,13,15%
Alabama,AL,Lamar County,01075,18,15%
Alabama,AL,Lauderdale County,01077,13,15%
Alabama,AL,Lawrence County,01079,21,15%
Alabama,AL,Lee County,01081,13,15%
Alabama,AL,Limestone County,01083,14,15%
Alabama,AL,Lowndes County,01085,28,15%
Alabama,AL,Macon County,01087,25,15%
Alabama,AL,Madison County,01089,10,15%
Alabama,AL,Marengo County,01091,22,15%
Alabama,AL,Marion County,01093,16,15%
Alabama,AL,Marshall County,01095,15,15%
Alabama,AL,Mobile County,01097,16,15%
Alabama,AL,Monroe County,01099,20,15%
Alabama,AL,Montgomery County,01101,14,15%
Alabama,AL,Morgan County,01103,20,15%
Alabama,AL,Perry County,01105,27,15%
Alabama,AL,Pickens County,01107,21,15%
Alabama,AL,Pike County,01109,19,15%
Alabama,AL,Randolph County,01111,19,15%
Alabama,AL,Russell County,01113,21,15%
Alabama,AL,St. Clair County,01115,12,15%
Alabama,AL,Shelby County,01117,7,15%
Alabama,AL,Sumter County,01119,28,15%
Alabama,AL,Talladega County,01121,18,15%
Alabama,AL,Tallapoosa County,01123,16,15%
Alabama,AL,Tuscaloosa County,01125,14,15%
Alabama,AL,Walker County,01127,14,15%
Alabama,AL,Washington County,01129,20,15%
Alabama,AL,Wilcox County,01131,30,15%
Alabama,AL,Winston County,01133,16,15%
Arkansas,AR,Arkansas County,05001,16,14%
Arkansas,AR,Ashley County,05003,19,14%
Arkansas,AR,Baxter County,05005,11,14%
Arkansas,AR,Benton County,05007,12,14%
Arkansas,AR,Boone County,05009,11,14%
Arkansas,AR,Bradley County,05011,22,14%
Arkansas,AR,Calhoun County,05013,19,14%
Arkansas,AR,Carroll County,05015,17,14%
Arkansas,AR,Chicot County,05017,25,14%
Arkansas,AR,Clark County,05019,15,14%
Arkansas,AR,Clay County,05021,16,14%
