State,County,FIPS,Rate
AL, Autauga County                ,01001,13
AL, Baldwin County                ,01003,11
AL, Barbour County                ,01005,23
AL, Bibb County                   ,01007,17
AL, Blount County                 ,01009,14
AL, Bullock County                ,01011,34
AL, Butler County                 ,01013,21
AL, Calhoun County                ,01015,15
AL, Chambers County               ,01017,20
AL, Cherokee County               ,01019,16
AL, Chilton County                ,01021,15
AL, Choctaw County                ,01023,23
AL, Clarke County                 ,01025,21
AL, Clay County                   ,01027,18
AL, Cleburne County               ,01029,17
AL, Coffee County                 ,01031,13
AL, Colbert County                ,01033,15
AL, Conecuh County                ,01035,23
AL, Coosa County                  ,01037,21
AL, Covington County              ,01039,16
AL, Crenshaw County               ,01041,19
AL, Cullman County                ,01043,13
AL, Dale County                   ,01045,13
AL, Dallas County                 ,01047,24
AL, DeKalb County                 ,01049,18
AL, Elmore County                 ,01051,13
AL, Escambia County               ,01053,19
AL, Etowah County                 ,01055,14
AL, Fayette County                ,01057,17
AL, Franklin County               ,01059,19
AL, Geneva County                 ,01061,16
AL, Greene County                 ,01063,31
AL, Hale County                   ,01065,26
AL, Henry County                  ,01067,18
AL, Houston County                ,01069,12
AL, Jackson County                ,01071,15
AL, Jefferson County              ,01073,13
AL, Lamar County                  ,01075,18
AL, Lauderdale County             ,01077,13
AL, Lawrence County               ,01079,21
AL, Lee County                    ,01081,13
AL, Limestone County              ,01083,14
AL, Lowndes County                ,01085,28
AL, Macon County                  ,01087,25
AL, Madison County                ,01089,10
AL, Marengo County                ,01091,22
AL, Marion County                 ,01093,16
AL, Marshall County               ,01095,15
AL, Mobile County                 ,01097,16
AL, Monroe County                 ,01099,20
AL, Montgomery County             ,01101,14
AL, Morgan County                 ,01103,20
AL, Perry County                  ,01105,27
AL, Pickens County                ,01107,21
AL, Pike County                   ,01109,19
AL, Randolph County               ,01111,19
AL, Russell County                ,01113,21
AL, St. Clair County              ,01115,12
AL, Shelby County                 ,01117,7
AL, Sumter County                 ,01119,28
AL, Talladega County              ,01121,18
AL, Tallapoosa County             ,01123,16
AL, Tuscaloosa County             ,01125,14
AL, Walker County                 ,01127,14
AL, Washington County             ,01129,20
AL, Wilcox County                 ,01131,30
AL, Winston County                ,01133,16
AK, Aleutians East Borough        ,02013,27
